Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
5,11,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L05:4.9,L06:39.9327671755):8.5557442748,L04:56):8.5557442748,L03:5):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,65,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L04:56,L06:39.9327671755):8.5557442748,L05:4.9):8.5557442748,L03:5):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,113,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L05:4.9,L06:39.9327671755):8.5557442748,L03:5):8.5557442748,L04:56):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,167,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L03:5,L06:39.9327671755):8.5557442748,L05:4.9):8.5557442748,L04:56):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,217,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L04:56,L06:39.9327671755):8.5557442748,L03:5):8.5557442748,L05:4.9):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,277,108.28357687018274,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L03:5,L06:39.9327671755):8.5557442748,L04:56):8.5557442748,L05:4.9):8.5557442748,L02:3.9):3,L01:4.9,L07:5.8);",null
5,12,109.80053264233902,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L04:56,L05:4.9):4.2,L06:46.7021243732):9.4489378134,L03:5):9.4489378134,L02:3.9):3,L01:4.9,L07:5.8);",null
5,168,109.80053264233902,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","((((L04:56,L05:4.9):4.2,(L03:5,L06:46.7021243732):9.4489378134):9.4489378134,L02:3.9):3,L01:4.9,L07:5.8);",null
5,5,109.80948191998925,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L04:56,L06:47.0475793733):9.2762103134,L03:5):9.2762103134,L02:3.9):1.5,L05:4.9):1.5,L01:4.9,L07:5.8);",null
5,59,109.80948191998925,2,"((L01:63.2,L06:4):33.75,(((L04:56,L05:4.9):4.2,L03:5):6.7,L02:58.7):33.75,L07:5.8);","(((((L05:4.9,L06:47.0475793733):9.2762103134,L03:5):9.2762103134,L02:3.9):1.5,L04:56):1.5,L01:4.9,L07:5.8);",null
