Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
7,271,6.674953183356419,2,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999998,L01:0.5500000002,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:2.3):2.1,L06:7.1):7.1,L01:3.9,L07:7.8);",null
7,13,7.305819598101229,3,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.75,L01:0.55,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L06:7.1):0,L02:4.4):7.1,L01:3.9,L07:7.8);",null
7,258,7.305819598101229,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7500000002,L01:0.5499999998,L07:7.8);","((((L04:4.3,L05:5.3):7.2,L03:5):4.9,(L02:4.4,L06:7.1):0):7.1,L01:3.9,L07:7.8);",null
7,62,8.28039854113315,3,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999999,L01:0.5500000001,L07:7.8);","((((L04:4.3,L05:5.3):7.2,(L02:2.3,L03:5):0):2.1,L06:7.1):7.1,L01:3.9,L07:7.8);",null
7,270,8.28039854113315,3,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999999,L01:0.5500000001,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L02:2.3):0,L03:5):2.1,L06:7.1):7.1,L01:3.9,L07:7.8);",null
5,271,8.525256594378845,3,"((L01:4.3,L06:4.8):0,(((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:2.2999999999):2.1000000001,L06:7.1):7.1,L01:3.9,L07:7.8);",null
8,271,8.525256594378845,3,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L01:4.3):0,L06:4.8,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:2.3):2.1,L06:7.1):7.1,L01:3.9,L07:7.8);",null
7,10,8.796874444937815,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999999,L01:0.5500000001,L07:7.8);","((((L04:4.3,L05:5.3):7.2,L06:7.1):0,(L02:4.4,L03:5):0):7.1,L01:3.9,L07:7.8);",null
7,12,8.796874444937815,6,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.75,L01:0.55,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L06:7.1):0,L03:5):0,L02:4.4):7.1,L01:3.9,L07:7.8);",null
7,52,8.796874444937815,6,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.75,L01:0.55,L07:7.8);","(((L04:4.3,L05:5.3):7.2,((L02:4.4,L06:7.1):0,L03:5):0):7.1,L01:3.9,L07:7.8);",null
7,54,8.796874444937815,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7500000002,L01:0.5499999998,L07:7.8);","(((L04:4.3,L05:5.3):7.2,((L02:4.4,L03:5):0,L06:7.1):0):7.1,L01:3.9,L07:7.8);",null
7,56,8.796874444937815,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999999,L01:0.5500000001,L07:7.8);","(((L04:4.3,L05:5.3):7.2,((L03:5,L06:7.1):0,L02:4.4):0):7.1,L01:3.9,L07:7.8);",null
7,162,8.796874444937815,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7499999999,L01:0.5500000001,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L06:7.1):0,L02:4.4):0,L03:5):7.1,L01:3.9,L07:7.8);",null
7,168,8.796874444937815,6,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.75,L01:0.55,L07:7.8);","((((L04:4.3,L05:5.3):7.2,(L03:5,L06:7.1):0):0,L02:4.4):7.1,L01:3.9,L07:7.8);",null
7,257,8.796874444937815,6,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.75,L01:0.55,L07:7.8);","((((L04:4.3,L05:5.3):7.2,(L02:4.4,L06:7.1):0):0,L03:5):7.1,L01:3.9,L07:7.8);",null
7,266,8.796874444937815,4,"(((((L04:4.3,L05:5.3):7.2,L03:5):4.9,L02:5.2):5,L06:4.8):3.7500000002,L01:0.5499999998,L07:7.8);","(((((L04:4.3,L05:5.3):7.2,L02:4.4):0,L06:7.1):0,L03:5):7.1,L01:3.9,L07:7.8);",null
