Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
7,46,108.66735940474489,3,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999997,L01:34.2500000003,L07:67.1);","(((L04:4.9,L05:3.7):5.1,L01:5.2,L06:4.3):0,(L02:5.3,L03:3.6):5.1,L07:67.1);",null
7,250,108.66735940474489,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999976,L01:34.2500000024,L07:67.1);","((((L04:4.9,L05:3.7):5.1,L01:5.2):0,(L02:5.3,L03:3.6):5.1):0,L06:4.3,L07:67.1);",null
7,45,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000001,L01:34.2499999999,L07:67.1);","(((L04:4.9,L05:3.7):5.1,(L01:5.2,L06:4.3):0):0,(L02:5.3,L03:3.6):5.1,L07:67.1);",null
7,100,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999999,L01:34.2500000001,L07:67.1);","((((L04:4.9,L05:3.7):5.1,(L02:5.3,L03:3.6):5.1):0,L06:4.3):0,L01:5.2,L07:67.1);",null
7,117,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999996,L01:34.2500000004,L07:67.1);","((L01:5.2,L06:4.3):0,((L04:4.9,L05:3.7):5.1,(L02:5.3,L03:3.6):5.1):0,L07:67.1);",null
7,119,108.6673594047449,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000004,L01:34.2499999996,L07:67.1);","((((L04:4.9,L05:3.7):5.1,(L02:5.3,L03:3.6):5.1):0,L01:5.2):0,L06:4.3,L07:67.1);",null
7,150,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000006,L01:34.2499999994,L07:67.1);","((L04:4.9,L05:3.7):5.1,((L01:5.2,L06:4.3):0,(L02:5.3,L03:3.6):5.1):0,L07:67.1);",null
7,152,108.6673594047449,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000011,L01:34.2499999989,L07:67.1);","((L04:4.9,L05:3.7):5.1,(((L02:5.3,L03:3.6):5.1,L01:5.2):0,L06:4.3):0,L07:67.1);",null
7,236,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999999,L01:34.2500000001,L07:67.1);","(((L04:4.9,L05:3.7):5.1,L01:5.2):0,((L02:5.3,L03:3.6):5.1,L06:4.3):0,L07:67.1);",null
7,248,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000001,L01:34.2499999999,L07:67.1);","((((L04:4.9,L05:3.7):5.1,L01:5.2):0,L06:4.3):0,(L02:5.3,L03:3.6):5.1,L07:67.1);",null
7,259,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999999,L01:34.2500000001,L07:67.1);","(((L04:4.9,L05:3.7):5.1,((L02:5.3,L03:3.6):5.1,L06:4.3):0):0,L01:5.2,L07:67.1);",null
7,260,108.6673594047449,3,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999996,L01:34.2500000004,L07:67.1);","(((L04:4.9,L05:3.7):5.1,(L02:5.3,L03:3.6):5.1,L06:4.3):0,L01:5.2,L07:67.1);",null
7,297,108.6673594047449,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000013,L01:34.2499999987,L07:67.1);","((L04:4.9,L05:3.7):5.1,(((L02:5.3,L03:3.6):5.1,L06:4.3):0,L01:5.2):0,L07:67.1);",null
7,313,108.6673594047449,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000011,L01:34.2499999989,L07:67.1);","(((L04:4.9,L05:3.7):5.1,((L02:5.3,L03:3.6):5.1,L01:5.2):0):0,L06:4.3,L07:67.1);",null
7,314,108.6673594047449,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999992,L01:34.2500000008,L07:67.1);","((L04:4.9,L05:3.7):5.1,((L02:5.3,L03:3.6):5.1,L01:5.2):0,L06:4.3,L07:67.1);",null
7,0,108.78697072719692,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000002,L01:34.2499999998,L07:67.1);","(((((L02:5.3,L03:3.6):5.1,L04:4.9):0,L05:3.7):0,L06:4.3):0,L01:5.2,L07:67.1);",null
7,16,108.78697072719692,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000003,L01:34.2499999997,L07:67.1);","((L01:5.2,L06:4.3):0,(((L02:5.3,L03:3.6):5.1,L04:4.9):0,L05:3.7):0,L07:67.1);",null
7,17,108.78697072719692,6,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999999,L01:34.2500000001,L07:67.1);","(((((L02:5.3,L03:3.6):5.1,L04:4.9):0,L05:3.7):0,L01:5.2):0,L06:4.3,L07:67.1);",null
7,30,108.78697072719692,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000001,L01:34.2499999999,L07:67.1);","(((L01:5.2,L06:4.3):0,L05:3.7):0,((L02:5.3,L03:3.6):5.1,L04:4.9):0,L07:67.1);",null
7,31,108.78697072719692,4,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0500000004,L01:34.2499999996,L07:67.1);","((L01:5.2,L05:3.7,L06:4.3):0,((L02:5.3,L03:3.6):5.1,L04:4.9):0,L07:67.1);",null
7,32,108.78697072719692,5,"((((L04:4.9,L05:3.7):5.1,(L02:58.7,L03:67.1):61.8):4.7,L06:4.3):29.0499999994,L01:34.2500000006,L07:67.1);","(((L01:5.2,L06:4.3):0,((L02:5.3,L03:3.6):5.1,L04:4.9):0):0,L05:3.7,L07:67.1);",null
