Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
6,117,4.378355855797927,4,"((L01:5.3,L06:4):2.7,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):1.9,L07:5.2);","((L01:3.5500000001,L06:4):0.9499999999,((L04:4.3,L05:4.6):3.7,(L02:6.1,L03:5.2):3.8500000001):0.1499999999,L07:5.2);",null
6,45,4.381780460041329,3,"((L01:5.3,L06:4):2.8,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):1.8,L07:5.2);","(((L04:4.3,L05:4.6):3.7,(L01:3.5,L06:4):1):0,(L02:6.1,L03:5.2):4,L07:5.2);",null
6,150,4.381780460041329,5,"((L01:5.3,L06:4):2.7999999999,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):1.8000000001,L07:5.2);","((L04:4.3,L05:4.6):3.7,((L01:3.5,L06:4):1,(L02:6.1,L03:5.2):4):0,L07:5.2);",null
6,100,4.513682901282868,4,"((L01:5.3,L06:4):2.0666666666,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.5333333334,L07:5.2);","((((L04:4.3,L05:4.6):3.7,(L02:6.1,L03:5.2):3.5333333333):0.4666666667,L06:4):0,L01:4.5,L07:5.2);",null
6,119,4.513682901282868,5,"((L01:5.3,L06:4):2.0666666667,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.5333333333,L07:5.2);","((((L04:4.3,L05:4.6):3.7,(L02:6.1,L03:5.2):3.5333333334):0.4666666666,L01:4.5):0,L06:4,L07:5.2);",null
6,46,4.54972526643093,3,"((L01:5.3,L06:4):2.3,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.3,L07:5.2);","(((L04:4.3,L05:4.6):3.7,L01:4.5,L06:4):0,(L02:6.1,L03:5.2):4,L07:5.2);",null
6,152,4.54972526643093,2,"((L01:5.3,L06:4):2.3,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.3,L07:5.2);","((L04:4.3,L05:4.6):3.7,(((L02:6.1,L03:5.2):4,L01:4.5):0,L06:4):0,L07:5.2);",null
6,236,4.54972526643093,3,"((L01:5.3,L06:4):2.3,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.3,L07:5.2);","(((L04:4.3,L05:4.6):3.7,L01:4.5):0,((L02:6.1,L03:5.2):4,L06:4):0,L07:5.2);",null
6,248,4.54972526643093,3,"((L01:5.3,L06:4):2.3,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.3,L07:5.2);","((((L04:4.3,L05:4.6):3.7,L01:4.5):0,L06:4):0,(L02:6.1,L03:5.2):4,L07:5.2);",null
6,250,4.54972526643093,4,"((L01:5.3,L06:4):2.3000000001,((L04:4.3,L05:4.6):3.7,(L02:3.5,L03:4.8):5.6):2.2999999999,L07:5.2);","((((L04:4.3,L05:4.6):3.7,L01:4.5):0,(L02:6.1,L03:5.2):4):0,L06:4,L07:5.2);",null
