Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
50,240,24.880179527755292,5,"(((L04:6.2,L05:4.6):19.1666666668,L06:4.2):19.2666666668,((L01:4.7,L02:3.9):7.3,L03:4.5):19.7666666664,L07:56.9);","(((L01:4.7,L02:3.9):7.3,L03:0):6.1,((L04:0,L05:4.6):5.5,L06:4.2):5.6,L07:56.9);",null
50,239,25.929005637188123,6,"(((L04:6.2,L05:4.6):19.1666666666,L06:4.2):19.2666666666,((L01:4.7,L02:3.9):7.3,L03:4.5):19.7666666669,L07:56.9);","(((L02:3.9,L03:0):0,L01:4.7):6.1,((L04:0,L05:4.6):5.5,L06:4.2):5.6,L07:56.9);",null
50,298,25.929005637188123,6,"(((L04:6.2,L05:4.6):19.1666666666,L06:4.2):19.2666666666,((L01:4.7,L02:3.9):7.3,L03:4.5):19.7666666669,L07:56.9);","(((L01:4.7,L03:0):0,L02:3.9):6.1,((L04:0,L05:4.6):5.5,L06:4.2):5.6,L07:56.9);",null
50,236,27.23031399011036,5,"(((L04:6.2,L05:4.6):15.5,L06:4.2):21.1000000001,((L01:4.7,L02:3.9):7.3,L03:4.5):21.5999999999,L07:56.9);","(((L01:4.7,L02:3.9):7.3,L03:0):6.1,((L04:5.5,L06:4.2):0,L05:4.6):5.6,L07:56.9);",null
50,244,27.23031399011036,5,"(((L04:6.2,L05:4.6):15.4999999998,L06:4.2):21.1,((L01:4.7,L02:3.9):7.3,L03:4.5):21.6000000002,L07:56.9);","(((L01:4.7,L02:3.9):7.3,L03:0):6.1,((L05:4.6,L06:4.2):0,L04:5.5):5.6,L07:56.9);",null
50,262,27.93689317014331,5,"(((L04:6.2,L05:4.6):21.1999999998,L06:4.2):21.2999999998,((L01:4.7,L02:3.9):7.3,L03:4.5):15.7000000005,L07:56.9);","(((L01:4.7,L02:3.9):7.3,((L04:0,L05:4.6):5.5,L06:4.2):5.6):0,L03:6.1,L07:56.9);",null
50,301,27.936893170143314,6,"(((L04:6.2,L05:4.6):21.1999999991,L06:4.2):21.2999999991,((L01:4.7,L02:3.9):7.3,L03:4.5):15.7000000017,L07:56.9);","((L01:4.7,L02:3.9):7.3,(((L04:0,L05:4.6):5.5,L06:4.2):5.6,L03:6.1):0,L07:56.9);",null
50,235,28.19184279184318,6,"(((L04:6.2,L05:4.6):15.5000000003,L06:4.2):21.0999999999,((L01:4.7,L02:3.9):7.3,L03:4.5):21.5999999998,L07:56.9);","(((L02:3.9,L03:0):0,L01:4.7):6.1,((L04:5.5,L06:4.2):0,L05:4.6):5.6,L07:56.9);",null
50,243,28.19184279184318,6,"(((L04:6.2,L05:4.6):15.4999999999,L06:4.2):21.1,((L01:4.7,L02:3.9):7.3,L03:4.5):21.6000000001,L07:56.9);","(((L02:3.9,L03:0):0,L01:4.7):6.1,((L05:4.6,L06:4.2):0,L04:5.5):5.6,L07:56.9);",null
50,294,28.19184279184318,6,"(((L04:6.2,L05:4.6):15.5000000003,L06:4.2):21.0999999999,((L01:4.7,L02:3.9):7.3,L03:4.5):21.5999999998,L07:56.9);","(((L01:4.7,L03:0):0,L02:3.9):6.1,((L04:5.5,L06:4.2):0,L05:4.6):5.6,L07:56.9);",null
