Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
50,240,0.26832815729997406,11,"(((L04:5.1,L05:6.2):0.54,L06:6):5.52,((L01:5,L02:5):5.7,L03:5):0.34,L07:6.3);","(((L01:5,L02:5):5.7,L03:4.88):0.22,((L04:4.98,L05:6.2):0.42,L06:6):5.4,L07:6.3);",null
50,301,0.364005494464025,8,"(((L04:5.1,L05:6.2):0.65,L06:6):5.575,((L01:5,L02:5):5.7,L03:5):0.175,L07:6.3);","((L01:5,L02:5):5.7,(((L04:4.925,L05:6.2):0.475,L06:6):5.4,L03:5.1):0,L07:6.3);",null
50,262,0.3640054944640254,9,"(((L04:5.1,L05:6.2):0.65,L06:6):5.575,((L01:5,L02:5):5.7,L03:5):0.175,L07:6.3);","(((L01:5,L02:5):5.7,((L04:4.925,L05:6.2):0.475,L06:6):5.4):0,L03:5.1,L07:6.3);",null
58,240,0.4102844541697048,5,"((((L04:5.1,L05:6.2):0.7666666667,L06:6):5.6333333333,(L01:5,L02:5):5.7):0,L03:5,L07:6.3);","(((L01:5,L02:5):5.7,L03:5.05):0.05,((L04:4.8666666666,L05:6.2):0.5333333334,L06:6):5.4,L07:6.3);",null
27,240,0.4102844541697052,6,"((((L04:5.1,L05:6.2):0.7666666675,L06:6):5.6333333325,L03:5):0,(L01:5,L02:5):5.7,L07:6.3);","(((L01:5,L02:5):5.7,L03:5.05):0.05,((L04:4.8666666675,L05:6.2):0.5333333325,L06:6):5.4,L07:6.3);",null
58,301,0.4163331998932258,4,"((((L04:5.1,L05:6.2):0.7666666666,L06:6):5.6333333334,(L01:5,L02:5):5.7):0,L03:5,L07:6.3);","((L01:5,L02:5):5.7,(((L04:4.8666666666,L05:6.2):0.5333333334,L06:6):5.4,L03:5.1):0,L07:6.3);",null
27,262,0.41633319989322587,8,"((((L04:5.1,L05:6.2):0.7666666667,L06:6):5.6333333333,L03:5):0,(L01:5,L02:5):5.7,L07:6.3);","(((L01:5,L02:5):5.7,((L04:4.8666666667,L05:6.2):0.5333333333,L06:6):5.4):0,L03:5.1,L07:6.3);",null
31,242,0.41633319989322587,7,"(((((L04:5.1,L05:6.2):0.7666666666,L06:6):5.6333333334,L03:5):5.7,L02:5):0.5999999999,L01:4.4000000001,L07:0);","(((((L04:4.8666666667,L05:6.2):0.5333333333,L06:6):5.4,L03:5.1):5.7000000001,L02:5):0.5999999999,L01:4.4000000001,L07:0);",null
35,300,0.41633319989322587,7,"(((((L04:5.1,L05:6.2):0.7666666666,L06:6):5.6333333334,L03:5):5.7,L01:5):0.5999999999,L02:4.4000000001,L07:0);","(((((L04:4.8666666667,L05:6.2):0.5333333333,L06:6):5.4,L03:5.1):5.7000000001,L01:5):0.5999999999,L02:4.4000000001,L07:0);",null
27,242,0.41633319989322604,6,"((((L04:5.1,L05:6.2):0.7666666668,L06:6):5.6333333332,L03:5):5.7,(L01:5,L02:5):0,L07:0.6000000001);","(((((L04:4.8666666666,L05:6.2):0.5333333334,L06:6):5.4,L03:5.1):5.6999999999,L02:5):0,L01:5,L07:0.6000000001);",null
