Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
0,122,104.72157119558993,2,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,((L04:62.8,L05:4):20.3333333333,L09:6):20.3333333333,L10:3.6);","((((((L01:33.0500000001,L08:4.4):31.5499999999,L02:5.8):6.6,L04:5.9):29.9,L05:4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,122,104.72157119558993,2,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,L09:6):20.3333333333,(L04:62.8,L05:4):20.3333333333,L10:3.6);","((((((L01:33.0500000001,L08:4.4):31.5499999999,L02:5.8):6.6,L04:5.9):29.9,L05:4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
1,122,105.62741440474646,4,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,((L04:43.176498861,L09:6):19.623501139,L05:4):30.5,L10:3.6);","((((((L01:33.0500000003,L08:4.4):31.5499999997,L02:5.8):6.6,L04:5.9):29.9,L05:4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
131,122,105.62741440474646,4,"(((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,L09:6):30.5,L05:4):19.623501139,L04:43.176498861,L10:3.6);","((((((L01:33.0500000003,L08:4.4):31.5499999997,L02:5.8):6.6,L04:5.9):29.9,L05:4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,175,108.6624754392229,7,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):16.9408165479,((L04:62.8,L05:4):27.1183669041,L09:6):16.9408165479,L10:3.6);","((((((L01:47.9091720454,L05:4):16.6908279546,L02:5.8):6.6,L04:5.9):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,175,108.6624754392229,7,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):16.9408165479,L09:6):16.9408165479,(L04:62.8,L05:4):27.1183669041,L10:3.6);","((((((L01:47.9091720454,L05:4):16.6908279546,L02:5.8):6.6,L04:5.9):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
1,88,109.40662484579425,2,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,((L04:41.9545839689,L09:6):20.8454160311,L05:4):30.5,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L08:4.4):19.9333333333,L05:4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
1,158,109.40662484579425,2,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,((L04:41.9545839689,L09:6):20.8454160311,L05:4):30.5,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L05:4):19.9333333333,L08:4.4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
131,88,109.40662484579425,2,"(((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,L09:6):30.5,L05:4):20.8454160311,L04:41.9545839689,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L08:4.4):19.9333333333,L05:4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
131,158,109.40662484579425,2,"(((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):30.5,L09:6):30.5,L05:4):20.8454160311,L04:41.9545839689,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L05:4):19.9333333333,L08:4.4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,88,109.41283385730549,1,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,((L04:62.8,L05:4):20.3333333333,L09:6):20.3333333333,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L08:4.4):19.9333333333,L05:4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,158,109.41283385730549,1,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,((L04:62.8,L05:4):20.3333333333,L09:6):20.3333333333,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L05:4):19.9333333333,L08:4.4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,88,109.41283385730549,1,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,L09:6):20.3333333333,(L04:62.8,L05:4):20.3333333333,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L08:4.4):19.9333333333,L05:4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,158,109.41283385730549,1,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):20.3333333333,L09:6):20.3333333333,(L04:62.8,L05:4):20.3333333333,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L04:5.9):19.9333333333,L05:4):19.9333333333,L08:4.4):19.9333333333,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,159,109.81509817888333,3,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):11.569867932,((L04:62.8,L05:4):37.860264136,L09:6):11.569867932,L10:3.6);","(((((L04:5.9,L05:4):0,(L01:64.6,L02:5.8):6.6):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,173,109.81509817888333,3,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):11.5698679328,((L04:62.8,L05:4):37.8602641344,L09:6):11.5698679328,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L05:4):0,L04:5.9):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,159,109.81509817888333,3,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):11.569867932,L09:6):11.569867932,(L04:62.8,L05:4):37.860264136,L10:3.6);","(((((L04:5.9,L05:4):0,(L01:64.6,L02:5.8):6.6):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
129,173,109.81509817888333,3,"((((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):11.5698679328,L09:6):11.5698679328,(L04:62.8,L05:4):37.8602641344,L10:3.6);","((((((L01:64.6,L02:5.8):6.6,L05:4):0,L04:5.9):29.9,L08:4.4):29.9,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
0,137,110.37288506981237,5,"(((((L01:6,L08:4.4):4.5,L02:4.1):5.2,L03:4.1):6.6,(L06:5.7,L07:4.2):3.2):8.0969437945,((L04:62.8,L05:4):44.806112411,L09:6):8.0969437945,L10:3.6);","((((((L01:33.0500000021,L08:4.4):31.5499999979,L02:5.8):6.6,L05:4):0,L04:5.9):59.8,((L03:5.4,L09:6):3.8,L07:4.4):5.4):5.4,L06:5,L10:3.6);",null
