Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
51,123,15.70956947633555,5,"((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):2.7322706812,(L06:6.2,L07:4):2.1677293188,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.7,L08:5.1):3.9,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
76,123,15.73102070745285,2,"(((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):2.45,((L06:6.2,L07:4):4.9,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
52,123,15.821654460799836,2,"(((((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.2499999999,L06:3.9500000001,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
45,123,16.05941794995262,2,"((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):2.45,(L06:6.2,L07:4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
174,123,16.05941794995262,2,"((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,(((L06:6.2,L07:4):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):2.45,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
53,123,16.138455622423955,3,"(((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L06:6.2):0,L07:4,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
46,123,16.340636561305335,2,"(((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):2.45,L09:6.4):2.45,(L04:4,L05:4.8):3.4):4.9,L07:4):2.2499999999,L06:3.9500000001,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
52,116,16.384745008593367,2,"(((((L03:2.8999999999,L09:6.4):3.9000000001,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):4.9,L07:4):2.2499999999,L06:3.9500000001,L10:5.8);","(((((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7,L04:9.9):5.3,(((L03:4,L09:6.4):5,L07:5.5):3.05,L05:4.8):3.05):4.5,L06:6.2,L10:5.8);",null
51,116,16.431575380804336,5,"((((L03:2.9,L09:6.4):3.9,((L01:3.3,L08:5.1):5.5,L02:4.6):6.1):4.9,(L04:4,L05:4.8):3.4):3.1173111156,(L06:6.2,L07:4):1.7826888844,L10:5.8);","(((((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7,L04:9.9):5.3,(((L03:4,L09:6.4):5,L07:5.5):3.05,L05:4.8):3.05):4.5,L06:6.2,L10:5.8);",null
39,123,16.45601193116584,2,"(((((((L01:3.3,L08:5.1):5.5,L02:4.6):6.1,L03:6.8):4.9,(L04:4,L05:4.8):3.4):2.45,L09:6.4):2.45,L07:4):2.2499999999,L06:3.9500000001,L10:5.8);","((((L04:5.25,L05:4.8):4.65,((L01:1.6999999999,L08:5.1):3.9000000001,L02:4.7):4.7):5.3,((L03:4,L09:6.4):5,L07:5.5):6.1):4.5,L06:6.2,L10:5.8);",null
