Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
84,17,123.32300097239009,5,"(((((L05:4.9,L06:6.5):59.5,L04:5.5):5.9,(((L01:4.9,L02:61.5):5.2,L03:58.6):31.3,L09:60.1):31.3):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L05:0,L06:6.5):5.3,(((L04:4.8,L09:60.1):19.6333333333,L01:4.9):19.6333333333,L02:61.5):19.6333333333):5.1,L03:4.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
84,403,123.32300097239009,5,"(((((L05:4.9,L06:6.5):59.5,L04:5.5):5.9,(((L01:4.9,L02:61.5):5.2,L03:58.6):31.3,L09:60.1):31.3):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L05:0,L06:6.5):5.3,(((L04:4.8,L09:60.1):19.6333333333,L02:61.5):19.6333333333,L01:4.9):19.6333333333):5.1,L03:4.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1600,125.1815681320537,7,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L01:4.9,L02:61.5):5.2,L03:0.25):4.25,((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1574,125.28952470178824,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L01:4.9,L03:0.25):0,L02:61.5):4.25,((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1599,125.28952470178824,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L02:61.5,L03:0.25):0,L01:4.9):4.25,((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1531,125.32577548134302,7,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((L01:4.9,L02:61.5):5.2,((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1):0,L03:4.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1594,125.32577548134302,7,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","((((L01:4.9,L02:61.5):5.2,(((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1,L03:4.5):0):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1489,125.43360793662917,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1,L01:4.9):0,L02:61.5):0,L03:4.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1497,125.43360793662917,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1,L01:4.9):0,L03:4.5):0,L02:61.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1502,125.43360793662917,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","((((L02:61.5,L03:4.5):0,(((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1,L01:4.9):0):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
166,1530,125.43360793662917,8,"(((((L04:0,L09:60.1):5.5,(L05:4.9,L06:6.5):59.5):5.9,((L01:4.9,L02:61.5):5.2,L03:58.6):62.6):4.4,L07:62.3):56.3000000002,L08:1.4999999998,L10:5.6);","(((((((L05:0,L06:6.5):5.3,(L04:4.8,L09:60.1):58.9):5.1,L02:61.5):0,L01:4.9):0,L03:4.5):4.4,L07:7.6):60.3,L08:5.5,L10:5.6);",null
