Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
166,1600,9.458858282054976,2,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.0499999999):3.0500000001,((L05:3.2500000001,L06:5):1.4499999999,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1084,9.678584607265673,3,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1598,9.678584607265673,3,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
163,1600,9.979729455250778,3,"((((((L05:7.4,L06:5):5.6,L04:4.6):0,L09:6.2):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
181,1600,9.979729455250778,4,"((((((L05:7.4,L06:5):5.6,L09:6.2):0,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.2499999999,L06:5):1.4500000001,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
164,1600,10.025716931970502,3,"((L07:5,L08:4.5):0,(((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
165,1600,10.025716931970502,3,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L08:4.5):0,L07:5,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
181,1084,10.179390944452424,2,"((((((L05:7.4,L06:5):2.8,L09:6.2):2.8,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):2.5,L06:5):2.5,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
181,1598,10.179390944452424,3,"((((((L05:7.4,L06:5):5.3000000002,L09:6.2):0.2999999998,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
163,1084,10.188228501560024,4,"((((((L05:7.4,L06:5):5.6,L04:4.6):0,L09:6.2):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
163,1598,10.188228501560024,4,"((((((L05:7.4,L06:5):5.6,L04:4.6):0,L09:6.2):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
164,1084,10.233279044372825,4,"((L07:5,L08:4.5):0,(((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
164,1598,10.233279044372825,4,"((L07:5,L08:4.5):0,(((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
165,1084,10.233279044372825,4,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L08:4.5):0,L07:5,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
165,1598,10.233279044372825,4,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L08:4.5):0,L07:5,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1594,10.39591265834799,3,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","((((L01:4.5,L02:2.9):7.8,(((L05:3.2500000001,L06:5):1.4499999999,(L04:5.1,L09:6.2):5):3.9,L03:5.1):0):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1531,10.395912658347992,3,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):0,L03:5.1):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
161,1600,10.518555033843764,4,"((L07:5,L08:4.5):0,((((L05:7.4,L06:5):5.6,L04:4.6):0,L09:6.2):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
162,1600,10.518555033843764,4,"((((((L05:7.4,L06:5):5.6,L04:4.6):0,L09:6.2):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L08:4.5):0,L07:5,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
180,1600,10.518555033843764,5,"((((((L05:7.4,L06:5):5.6,L09:6.2):0,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L08:4.5):0,L07:5,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
179,1600,10.518555033843766,4,"((L07:5,L08:4.5):0,((((L05:7.4,L06:5):5.6,L09:6.2):0,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,((L05:3.25,L06:5):1.45,(L04:5.1,L09:6.2):5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,991,10.596225743159685,4,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,(((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9):0,L03:5.1):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1075,10.596225743159685,4,"(((((L04:2.3500000001,L09:6.2):2.2499999999,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","((((L01:4.5,L02:2.9):7.8,((((L04:5.1,L09:6.2):5,L06:5):0,L05:4.7):3.9,L03:5.1):0):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1528,10.596225743159685,4,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","(((((L01:4.5,L02:2.9):7.8,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):0,L03:5.1):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
166,1592,10.596225743159685,4,"(((((L04:2.35,L09:6.2):2.25,(L05:7.4,L06:5):5.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L07:5):2.35,L08:2.15,L10:5);","((((L01:4.5,L02:2.9):7.8,((((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9,L03:5.1):0):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
179,1084,10.708174447589094,3,"((L07:5,L08:4.5):0,((((L05:7.4,L06:5):2.8,L09:6.2):2.8,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):2.5,L06:5):2.5,L05:4.7):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
179,1598,10.708174447589094,4,"((L07:5,L08:4.5):0,((((L05:7.4,L06:5):5.3,L09:6.2):0.3,L04:4.6):3.9,((L01:4.5,L02:2.9):7.8,L03:4.9):5.9):6.1,L10:5);","(((((L01:4.5,L02:2.9):7.8,L03:2.05):3.05,(((L04:5.1,L09:6.2):5,L05:4.7):0,L06:5):3.9):6.3,L07:8.9):4.4,L08:4.2,L10:5);",null
